ean;stock;price;list_price
4050772316959;0;50.99;59.99
4056848356935;1;109.99;129.99
8059342210846;0;25.99;27.99
4005422151763;0;38.99;49.99
4050772308305;0;50.99;59.99
4065306337171;0;99.99;114.99
4066219000794;0;59.99;69.99
8056381914315;0;73.79;89.99
9008132507436;0;40.99;49.99
4063098502401;0;154.99;179.99
9006063896049;0;109.99;129.99
8057153638316;0;67.99;79.99
4056286519404;0;24.49;29.99
5059404223732;0;27.99;45.99
4060647593811;0;89.99;109.99
8057153425404;0;76.49;89.99
4050772287273;0;104.99;114.99
8058949133657;0;99.99;0
8059342575228;0;67.99;79.99
8054112647907;0;45.99;54.99
8058329006489;0;0;0
6438453174704;0;78.99;99.99
4066224050630;0;169.99;199.99
9008132567300;0;35.99;44.99
4005422118452;1;82.99;99.99
5059404263462;0;38.99;99.99
4057486152842;0;62.39;79.99
4017182751176;0;49.99;59.99
5057538663431;0;15.5;29.99
5057538390832;0;16.5;29.99
8055199661862;0;84.99;99.99
4057486508649;0;85.99;99.99
4063833083752;0;213.19;259.99
9008132555567;0;29.99;39.99
8058949451362;0;33.99;39.99
4063833861633;0;109.99;129.99
5059404636976;0;32.49;49.99
8053305800631;0;55.99;69.99
8055199226207;0;30.99;35.99
4017182950517;0;25.99;29.99
4063833493988;0;35.99;39.99
9008132586202;0;21.99;24.99
4005422129335;1;52.99;59.99
4057486524359;0;92.99;0
5063019088846;0;21.49;39.99
4005422115376;0;39.99;129.99
4065306329084;0;29.99;39.99
192636508026;1;469.99;549.99
5057538733899;0;54.99;99.99
7310427648796;0;55.99;69.99
5057538052235;0;56.99;99.99
6413680332332;0;159.99;199.99
9008169831672;0;149.99;0
8059342561283;0;43.99;49.99
4062206591603;0;107.99;119.99
7310422561755;0;77.99;99.99
8056426772979;0;22.9;27.95
4057486152682;0;62.39;79.99
8056381058507;0;29.99;29.99
4063098032267;0;87.99;99.99
4059297313030;0;54.99;64.99
8053305078313;0;41.99;49.99
4017182943458;0;67.99;79.99
8054112123883;0;24.99;29.99
8053801321845;0;112.99;129.99
9008132535309;0;31.99;39.99
4060647842315;0;70.19;89.99
4017182243046;0;49.99;59.99
7613361407291;0;34.99;39.99
8058949182662;0;85.99;0
8056426341328;0;37.49;49.99
4056286507524;1;84.99;99.99
8059140199244;15;0;0
8719184273682;0;137.99;159.99
8059342457067;0;27.99;29.99
4065306190714;0;179.99;249.99
4063669085791;0;59.49;69.99
4065306328391;0;29.99;39.99
8717457811814;0;24.99;28.99
5059404279869;0;39.99;89.99
4061636706281;0;152.99;179.99
4017182942291;0;33.99;39.99
6438454445131;0;34.49;39.99
8053305777858;0;23.99;29.99
8058949130649;0;99.99;0
4050772092051;1;140.39;149.99
4060647525898;0;59.49;69.99
4061393285524;0;84.99;99.99
4061636375180;0;82.99;99.99
7613361298127;0;78.99;99.99
4065306190318;0;179.99;249.99
4064961090773;0;74.99;89.99
9008805077594;0;76.49;89.99
7613361880995;1;76.49;89.99
8057153781791;0;42.49;49.99
8059342500091;0;84.99;99.99
4065306035572;0;24.49;29.99
4047337611369;4;67.49;79.99
4050772306639;0;43.49;49.99
4066224357739;0;169.99;199.99
8058949050602;0;42.99;49.99
8057153781623;0;42.49;49.99
7613361936395;0;59.99;69.99
8058949466731;0;34.99;0
8058361910898;0;29.99;35.99
4066938135951;0;69.99;79.99
8051737197800;0;28.79;35.99
8059342548185;0;42.49;49.99
8053801306163;0;125.99;139.99
5057538662892;0;15.5;29.99
9008132576661;0;30.99;39.99
4047337714435;0;97.49;114.99
4050768055091;0;67.99;79.99
4017182842003;0;93.49;109.99
4066224050111;0;119.99;139.99
4050772257672;0;89.25;104.99
8058949049125;0;67.99;79.99
8059342540783;0;55.99;65.99
7611366174231;0;63.99;74.99
4005422158236;0;80.99;89.99
4017182912522;0;34.99;39.99
4060647943333;0;89.99;99.99
4065306327912;0;28.49;34.99
8717457169274;6;24.49;26.99
5063019080024;0;39.95;99.99
4050772255838;0;86.99;99.99
9006063897312;0;26.99;29.99
4063098440406;0;169.99;0
4049254518790;0;49.99;59.99
4061393431440;0;25.49;32.99
4050772194953;0;106.59;129.99
4061393533731;0;101.99;119.99
8051737173033;0;31.19;39.99
5057538052068;0;49.49;109.99
8057153503751;0;115.99;129.99
4050772174627;0;35.99;119.99
7617977062264;0;59.49;0
8059342957796;0;70.99;79.99
